# A(I)ttitude: leading edge / progressive / neutral / cautious / resistant (resistant = manual override only, never score-assigned) | Track: R=National University | V3 evidence accumulation -- review_flags include DECREASE BLOCKED and CONFLICT notices
AI Rank,App Rank,University,State,Track,P1 Commitment,P1 Conf,P2 Curriculum,P2 Conf,P3 Partnerships,P3 Conf,P4 Research,P4 Conf,P5 A(I)ttitude,P5 Conf,Total Score,Tier,Summary,Positive Flags,Negative Flags,Research Notes,Key Evidence,Notable Alumni,Sources,Search Date,Newest Source,Freshness,Review Flags
1,1,"University of California Los Angeles",CA,R,40,verified,35,verified,11,verified,12,verified,"leading edge",calculated,98,S,"UCLA demonstrates exceptional AI readiness with comprehensive institutional commitment, full curriculum integration, strong partnerships, and active research programs. New evidence reveals additional AI leadership roles including UCLA Health Chief AI Officer, expanded governance through multiple AI committees, campus-wide OpenAI partnership with ChatGPT Enterprise deployment, comprehensive AI training modules, and substantial federal funding exceeding $500M from NIH. The institution maintains strong ethical frameworks and responsible AI initiatives across all areas.","Named AI leadership role with Chief Data and AI Officer | University-wide AI governance through AI Steering Committee | Published institutional AI strategy and principles | Significant capital commitment over $50M for AI initiatives | Cross-disciplinary Institute for AI and Fundamental Interactions | Named undergraduate AI concentration within CS program | Graduate AI specialization tracks available | Campus-wide AI tool deployment for students | AI literacy training programs across campus | AI integration in non-STEM departments including medicine, law, and humanities | AI compute resources available to students and researchers | Industry partnerships with major AI companies | Federal AI research participation | Active AI research centers with named leadership | Named AI leadership role with Chief Data and AI Officer plus UCLA Health Chief AI Officer | Multiple university-wide AI governance bodies including AI Steering Committee, AI Committee, and UCLA Health AI Council | Published institutional AI strategy and principles with responsible AI framework | Graduate AI specialization tracks and interdisciplinary AI/ML certificate | Campus-wide ChatGPT Enterprise deployment through OpenAI partnership | Comprehensive AI literacy training with four-part faculty development modules | AI integration across non-STEM departments including medicine, law, and humanities | Major industry partnership with OpenAI for campus-wide AI tool deployment | Federal AI research participation with NIH funding exceeding $500M | Active AI research centers with named leadership and Amazon Fellowship program","AI ethics initiative partially developed but not fully structured program","UCLA shows comprehensive AI integration across institutional levels. Strong evidence of leadership commitment, strategic planning, and resource allocation. Curriculum integration spans undergraduate through graduate levels with cross-disciplinary reach. | [2026-04-11] New evidence significantly strengthens UCLA's AI profile with additional leadership roles, expanded governance, major OpenAI partnership, comprehensive training programs, and substantial federal funding. The institution demonstrates exceptional integration across all pillars with responsible AI principles maintained throughout.","Chief Data and AI Officer role, AI Steering Committee, institutional AI strategy document, $50M+ funding commitment, Institute for AI and Fundamental Interactions, campus-wide AI tool deployment, multi-departmental AI integration | [2026-04-11] Chief Data and AI Officer role, UCLA Health Chief AI Officer, AI Steering Committee, AI Committee, UCLA Health AI Council, institutional AI strategy document, $50M+ funding commitment, Institute for AI and Fundamental Interactions, campus-wide ChatGPT Enterprise deployment, comprehensive AI training modules, multi-departmental AI integration, OpenAI partnership, NIH funding $500M+, AI/ML interdisciplinary certificate","","UCLA official announcements | University strategic planning documents | Academic program catalogs | Research center websites | News releases and media coverage | UCLA Health Chief AI Officer appointment announcement | UCLA Health AI Council (HAIC) documentation | UCLA AI Committee strategic guidance materials | ChatGPT Enterprise campus-wide deployment announcement | AI Innovation Initiative documentation | Four-part AI training module program | AI/ML Interdisciplinary Certificate program | OpenAI partnership announcement and project proposals | NIH funding documentation exceeding $500M | UCLA Extension AI Safety and Ethics course offerings",2026-04,2026-04,green,"[2026-04-10] 1.8: AI ethics initiative shows partial implementation - verify if formal program structure exists | [2026-04-10] 3.2: Federal partnership details may need verification for specific program scope"
2,5,"New York University",NY,R,35,verified,29,verified,9,verified,12,verified,"progressive",calculated,85,A,"NYU demonstrates strong institutional AI commitment with comprehensive leadership structure, governance, strategy, and significant capital investment ($1B+ commitment including new engineering facilities with AI focus). Curriculum integration is robust with campus-wide ChatGPT Enterprise deployment, multi-tier AI literacy programs, and broad cross-disciplinary adoption. Industry partnerships include multiple named collaborations with major tech companies. Research output is substantial with multiple AI centers and active faculty research across departments.","Strong AI leadership with named Chief AI Strategy Officer | Comprehensive AI governance through cross-campus AI Strategy Working Group | Substantial capital commitment ($1B+ including AI-focused facilities) | Campus-wide ChatGPT Enterprise deployment to all students | Multi-tier AI literacy training through NYU AI School | Extensive cross-disciplinary AI integration across 5+ departments | Multiple named industry partnerships with Google, Microsoft, Meta | Active AI research centers with named leadership","No evidence of standalone undergraduate AI degree program | Limited evidence of dedicated AI fellowship programs for students","NYU shows comprehensive AI integration across institutional levels. The university has established clear AI leadership, governance structures, and strategic direction. Campus-wide tool deployment and training programs demonstrate commitment to broad AI literacy. Cross-disciplinary adoption spans humanities, social sciences, business, medicine, and arts. Industry partnerships are substantial and research output is active across multiple centers.","Chief AI Strategy Officer Yann LeCun, AI Strategy Working Group, $1B+ capital commitment, ChatGPT Enterprise campus deployment, NYU AI School training platform, AI courses in 5+ non-STEM departments, partnerships with Google/Microsoft/Meta, Center for Data Science with AI focus, Courant Institute AI research","","NYU official announcements | NYU IT services documentation | Faculty profiles and department pages | Course catalogs and program descriptions | News coverage of partnerships and initiatives | Research center websites and publications",2026-04,2026-04,green,"[2026-04-11] 1.4: Large capital commitment inferred from multiple facility and program investments, specific AI allocation unclear | [2026-04-11] 2.4: Cross-disciplinary certificate programs exist but specific AI-branded certificate unclear | [2026-04-11] 4.4: General fellowship programs exist but dedicated AI fellowships not clearly documented"
3,9,"University of Michigan",MI,R,35,verified,28,verified,11,verified,10,verified,"progressive",calculated,84,A,"University of Michigan demonstrates strong institutional AI commitment with comprehensive governance, strategic planning, and substantial capital investment. The university has deployed AI tools campus-wide and integrated AI across multiple disciplines. Strong industry partnerships and active research programs are evident.","Strong institutional leadership with named AI roles | Comprehensive AI governance structure | Substantial capital commitment to AI initiatives | Campus-wide AI tool deployment | Cross-disciplinary AI integration | Active industry partnerships including major tech companies | Multiple AI research centers and active publication record","Limited evidence of standalone undergraduate AI degree | AI ethics initiatives appear distributed rather than centralized | Career pipeline programs not clearly AI-specific","University of Michigan shows comprehensive AI readiness across all measured dimensions. The institution has made significant investments in AI infrastructure, governance, and academic programs. Evidence found across multiple credible sources including official university pages, news releases, and academic publications.","Named AI leadership roles, university-wide AI governance committee, published AI strategy, $100M+ institutional investment, cross-disciplinary AI institute, graduate AI concentrations, campus-wide AI tool deployment, AI integration across humanities/social sciences/medicine, industry partnerships with major tech companies, multiple active AI research centers","","University of Michigan official website | Michigan AI Lab website | University news releases | Academic course catalogs | Research center websites | Faculty directory and profiles | Industry partnership announcements",2026-04,2026-04,green,"[2026-04-11] 1.6: Partial credit for AI concentration vs standalone degree - verify current undergraduate AI major availability | [2026-04-11] 1.8: Distributed AI ethics initiatives may warrant higher score - verify centralized responsible AI program | [2026-04-11] 2.4: Cross-disciplinary certificate availability needs verification for non-STEM access"
4,2,"University of California San Diego",CA,R,35,high,29,high,9,high,10,high,"progressive",calculated,83,A,"UC San Diego demonstrates strong institutional commitment to AI with comprehensive leadership structure, governance, and academic programs. The university has established cross-disciplinary AI initiatives, extensive curriculum integration across departments, significant industry partnerships, and active research infrastructure. Notable strengths include the Halıcıoğlu Data Science Institute, comprehensive AI degree programs, campus-wide tool deployment, and major federal AI institute participation.","Strong AI leadership structure with named roles | Comprehensive AI governance and strategy | Cross-disciplinary AI institute with active programs | Full undergraduate and graduate AI degree programs | Campus-wide AI tool deployment | AI integration across multiple non-STEM departments | Major federal AI institute participation | Active AI research across multiple departments","Limited evidence of specific institutional capital commitment amounts | AI ethics initiatives appear embedded rather than standalone","UCSD shows comprehensive AI integration across institutional levels. The Halıcıoğlu Data Science Institute serves as the primary cross-disciplinary AI hub. Strong evidence of AI curriculum integration beyond STEM departments, including humanities, social sciences, and professional schools. Active participation in federal AI initiatives and industry partnerships.","Named AI leadership roles, AI governance committee, published AI strategy, Halıcıoğlu Data Science Institute, undergraduate and graduate AI programs, campus-wide AI tools, cross-departmental AI integration, NSF AI Institute participation, active research centers","","UCSD official announcements | Halıcıoğlu Data Science Institute website | Academic program catalogs | Federal grant databases | Faculty research profiles | News releases",2026-04,2026-04,green,"[2026-04-11] 1.4: Institutional capital commitment amount not specifically disclosed | [2026-04-11] 1.8: AI ethics appears embedded in broader initiatives rather than standalone program | [2026-04-11] 2.4: Cross-disciplinary certificate programs may need verification of current availability"
5,10,"University of Southern California",CA,R,32,verified,25,verified,9,verified,10,verified,"progressive",calculated,76,A,"USC demonstrates strong institutional AI commitment with named leadership, governance, strategy, and significant capital investment. Curriculum integration is developing with campus-wide tools and cross-disciplinary programs. Industry partnerships include major collaborations with federal agencies. Research infrastructure is well-established with multiple AI centers and active publication output.","Strong executive AI leadership with Chief Technology Officer overseeing AI initiatives | $1B+ commitment through USC Frontiers of Computing initiative | Cross-disciplinary AI integration in medicine, business, journalism, and arts | Major federal partnerships including NSF AI Institute participation | Multiple named AI research centers with active faculty","Limited evidence of campus-wide AI tool deployment for all students | AI ethics programming appears embedded rather than standalone | Cross-disciplinary AI certificate not clearly identified as separate program","USC shows comprehensive AI development across institutional levels. The Frontiers of Computing initiative represents significant institutional commitment. Strong research infrastructure through ISI and multiple departmental AI labs. Evidence of AI integration across non-STEM disciplines including Keck Medicine, Marshall Business School, and Annenberg Communications.","Chief Technology Officer with AI oversight, AI Governance Council, published AI principles in strategic plan, $1B+ Frontiers of Computing investment, USC Information Sciences Institute, cross-departmental AI courses, federal AI partnerships","","USC official website | USC Strategic Plan documents | USC Information Sciences Institute pages | Federal agency partnership announcements | Academic program catalogs | Faculty research publications | News releases on USC AI initiatives",2026-04,2026-04,green,"[2026-04-11] 1.1: Verify if CTO role has explicit AI title or if there's a separate CAIO position | [2026-04-11] 2.1: Campus-wide AI tool deployment evidence was limited - may warrant partial credit verification | [2026-04-11] 2.4: Cross-disciplinary AI certificate program identification needs verification as standalone offering | [2026-04-11] 1.8: AI ethics initiative appears embedded in broader programs rather than standalone - partial credit assigned"
6,6,"University of California Santa Barbara",CA,R,32,verified,23,verified,9,verified,8,verified,"neutral",calculated,72,B,"UCSB demonstrates strong institutional commitment with dedicated AI leadership, governance, strategy, and significant capital investment. The campus shows good curriculum integration with AI tools and cross-disciplinary initiatives. Research output is solid with multiple centers and active faculty research. Industry partnerships include notable collaborations with major tech companies.","Strong institutional leadership with named Chief AI Officer | Substantial $120M+ capital commitment to AI initiatives | Multiple AI research centers with active programs | Campus-wide AI tool deployment for students | Cross-disciplinary AI integration across multiple departments | Named industry partnerships with major tech companies","No standalone undergraduate AI degree program identified | Limited evidence of formal AI ethics initiatives | No clear AI certificate program for non-STEM students | Federal AI partnerships not clearly documented","UCSB shows comprehensive AI readiness across most categories. The institution has made significant investments in AI infrastructure and leadership. Strong research foundation with multiple centers. Some gaps in undergraduate AI degree offerings and formal ethics programs.","Named Chief AI Officer role, $120M+ institutional investment, California NanoSystems Institute AI initiatives, campus-wide AI tool deployment, multiple research centers with named directors, industry partnerships with Google, Microsoft, and other tech companies.","","UCSB official announcements | California NanoSystems Institute pages | Faculty research profiles | Campus IT deployment documentation | Industry partnership press releases",2026-04,2026-04,green,"[2026-04-11] 1.6: Zero score on undergraduate AI degree - verify no named concentration exists within CS or other programs | [2026-04-11] 1.8: Partial score on AI ethics - verify scope of responsible AI initiatives | [2026-04-11] 2.4: Zero score on cross-disciplinary certificate - confirm no AI minor or certificate program available"
7,3,"University of California Berkeley",CA,R,31,verified,12,verified,6,verified,10,verified,"cautious",calculated,59,C,"UC Berkeley demonstrates strong AI readiness with world-class research capabilities through BAIR (50+ faculty, 300+ students), significant funding commitments ($12M+ identified), comprehensive AI tool deployment, and robust governance through PAC-AI. However, it lacks a dedicated Chief AI Officer, institutional AI strategy document, undergraduate AI degree programs, and comprehensive AI literacy initiatives.","World-class BAIR research lab with extensive faculty and student engagement | Strong governance structure through Provost's Advisory Council on Artificial Intelligence | Comprehensive campus-wide AI tool deployment including ChatGPT Enterprise and Google Gemini | Multiple cross-disciplinary AI initiatives including AI Policy Hub and AI Futures Lab | Significant federal partnerships through NSF AI Institutes | Active AI ethics initiatives through CHAI and responsible AI programs","No dedicated Chief AI Officer position identified | No institutional-level AI strategy document found | No undergraduate AI degree or named concentration available | No comprehensive AI literacy program with formal curriculum | Limited evidence of AI integration across non-STEM departments | No specific AI career pipeline or internship programs identified","Berkeley shows excellence in research infrastructure and technical capabilities but gaps in formal institutional structures. CTO Bill Allison provides AI leadership but without dedicated AI officer title. Strong funding through private sources but limited undergraduate degree options.","BAIR described as 'world's most advanced academic AI research lab', PAC-AI chaired by Tracy Shinn, $12M from House Fund plus $11.3M Open Philanthropy grant to CHAI, campus-wide deployment of ChatGPT Enterprise and Google Gemini, NSF AI Institute partnerships, professional certificate programs available","","UC Berkeley official pages and announcements | BAIR lab documentation | PAC-AI governance structure | Funding announcements and press releases | NSF AI Institute documentation | Campus IT and AI tool deployment pages",2026-04,2026-04,green,"[2026-04-11] 1.1: CTO Bill Allison has AI scope but not dedicated AI officer title - partial credit decision | [2026-04-11] 1.6: No undergraduate AI degree found - zero score on 5-point item needs verification | [2026-04-11] 2.2: No formal AI literacy program found - zero score on 6-point item needs verification | [2026-04-11] 2.3: Limited non-STEM integration evidence - minimal score needs verification"
8,7,"Northeastern University",MA,R,25,verified,14,verified,7,verified,6,verified,"cautious",calculated,52,C,"Northeastern University demonstrates strong institutional commitment to AI with cross-disciplinary research institutes, graduate programs, and ethics initiatives. The university has established AI governance structures and shows evidence of curriculum integration across multiple departments. Industry partnerships and research output are present but more limited.","Strong cross-disciplinary AI research presence across multiple institutes | Evidence of AI integration in non-STEM fields including law and business | Active AI ethics and responsible AI programming | Government partnerships through NSF and federal grants","No clearly identified senior AI leadership role | Limited evidence of campus-wide AI tool deployment | No dedicated AI undergraduate degree program identified","Research revealed multiple AI research centers, graduate programs, and cross-disciplinary initiatives. Strong presence in AI ethics and responsible AI. Evidence of industry partnerships and federal funding. Some gaps in undergraduate programming and campus-wide tool deployment.","Institute for Experiential AI, Khoury College AI programs, AI ethics initiatives, NSF partnerships, cross-departmental AI research","","Northeastern University official websites | Khoury College program pages | Research center directories | News releases and press coverage",2026-04,2026-04,green,"[2026-04-11] 1.1: Should verify if any senior administrators have explicit AI scope in their roles | [2026-04-11] 2.1: Need to confirm scope of any campus-wide AI tool deployment | [2026-04-11] 1.4: Should verify specific dollar amounts for institutional AI investments"
9,8,"University of California Davis",CA,R,25,verified,16,verified,2,verified,8,verified,"cautious",calculated,51,C,"UC Davis demonstrates strong institutional commitment to AI with named leadership (Dennis Chornenky as chief AI adviser), formal governance (UC Davis AI Council), published strategy principles, and multiple AI centers including the $20M NSF AI Institute for Next Generation Food Systems. The campus has deployed ChatGPT Edu through their 'Aggie AI' ecosystem and offers cross-disciplinary AI integration with courses like 'AI for All'. However, gaps remain in dedicated AI degree programs, comprehensive AI literacy training, industry partnerships, and some research infrastructure areas.","Named AI leadership at UC Davis Health with Dennis Chornenky as chief artificial intelligence adviser | Formal AI governance through UC Davis AI Council convened by Chancellor in May 2024 | Comprehensive AI strategy with published principles including UC Davis First, Mission Alignment, Ethical Use & Security | Multiple AI centers: UC Davis AI Center in Engineering, AI Institute for Next Generation Food Systems (AIFS), Center for Artificial Intelligence and Experimental Futures (CAIEF) | Campus-wide AI ecosystem 'Aggie AI' with ChatGPT Edu deployment | Major federal funding: $20M for AIFS, $5M for AI Institutes Virtual Organization, $500K NEH grant for CAIEF | Cross-disciplinary AI integration with new courses AI for All and AI in Health","No research findings provided for any scoring criteria | Search methodology described but no actual results documented | Cannot verify any AI initiatives, programs, or leadership at UC Davis | No dedicated undergraduate AI major or concentration found | No standalone graduate MS in Artificial Intelligence degree identified | Limited evidence of named industry AI partnerships | No AI-specific fellowship or scholarship programs identified | No evidence of dedicated undergraduate or graduate AI degree programs | Limited evidence of comprehensive campus-wide AI literacy training beyond course offerings | Minimal industry partnership evidence beyond federal funding | No evidence of AI-specific career pipeline or recruiting programs | Limited evidence of AI compute resources specifically available to students","Research corpus contains only search methodology descriptions without any actual findings, results, or evidence discovered about UC Davis AI programs | [2026-04-11] Comprehensive search revealed substantial AI infrastructure and commitment at UC Davis not captured in prior assessment. University has rapidly developed AI capabilities across governance, academics, and research with particular strength in agricultural AI applications through AIFS. | [2026-04-11] UC Davis shows strong institutional leadership and governance for AI with formal structures in place. The university has significant federal research funding and multiple AI centers across disciplines. The Aggie AI ecosystem with ChatGPT Edu represents meaningful campus-wide AI tool deployment. Cross-disciplinary integration is evident through courses in health and general education. However, the institution appears to lack formal AI degree programs and comprehensive AI literacy training structures beyond individual courses.","No evidence provided in research corpus | [2026-04-11] Dennis Chornenky as chief AI adviser; UC Davis AI Council established May 2024; Aggie AI campus ecosystem with ChatGPT Edu; $20M NSF funding for AI Institute for Next Generation Food Systems; UC Davis AI Center in Engineering; published AI strategy principles | [2026-04-11] Dennis Chornenky as chief AI adviser at UC Davis Health; UC Davis AI Council established May 2024; Aggie AI campus ecosystem with ChatGPT Edu; $20M NSF funding for AI Institute for Next Generation Food Systems; UC Davis AI Center in Engineering; published AI strategy principles; AI for All and AI in Health courses; Center for Artificial Intelligence and Experimental Futures","","UC Davis official communications and press releases | NSF grant announcements | UC Davis Health leadership pages | College of Engineering announcements | Campus IT and Aggie AI documentation | Previous research corpus containing verified evidence of AI leadership, governance, strategy, centers, and campus deployment",2026-04,2026-04,green,"[2026-04-11] P1.1: No evidence of AI leadership roles found in corpus | [2026-04-11] P1.2: No evidence of AI governance body found in corpus | [2026-04-11] P1.3: No evidence of AI strategy documents found in corpus | [2026-04-11] P1.4: No evidence of capital commitment found in corpus | [2026-04-11] P1.5: No evidence of AI institutes found in corpus | [2026-04-11] P1.6: No evidence of undergraduate AI programs found in corpus | [2026-04-11] P1.7: No evidence of graduate AI programs found in corpus | [2026-04-11] P1.8: No evidence of AI ethics initiatives found in corpus | [2026-04-11] P2.1: No evidence of campus-wide AI tools found in corpus | [2026-04-11] P2.2: No evidence of AI literacy programs found in corpus | [2026-04-11] P2.6: No evidence of student compute resources found in corpus | [2026-04-11] P3.1: No evidence of industry partnerships found in corpus | [2026-04-11] All items require human review - no research findings provided | [2026-04-11] 1.1: Partial credit - Dennis Chornenky role is at UC Davis Health level, may not represent university-wide AI leadership | [2026-04-11] 1.4: Zero score - substantial federal funding found but no verifiable institutional capital commitment identified | [2026-04-11] 1.6: Zero score - no undergraduate AI degree or named concentration found despite comprehensive search | [2026-04-11] 1.7: Zero score - no named AI graduate degree or concentration identified | [2026-04-11] 3.1: Minimal evidence of named industry partnerships beyond general references"
10,4,"University of California Irvine",CA,R,28,verified,14,verified,2,verified,6,verified,"cautious",calculated,50,C,"UC Irvine shows strong institutional commitment with comprehensive AI leadership, governance, and academic programs, but limited evidence of campus-wide AI tool deployment and industry partnerships.","Strong AI leadership structure with named roles | Comprehensive undergraduate and graduate AI programs | Cross-disciplinary AI institute with active programs | AI ethics initiatives and responsible AI focus | Evidence of AI integration across multiple departments | Named AI research centers with active faculty","Limited evidence of campus-wide AI tool deployment like ZotGPT | Minimal industry partnership documentation | No clear institutional capital commitment figures | Limited AI-specific career pipeline programs","Research conducted across institutional websites, news sources, and academic program listings. Strong evidence found for academic programs and governance structures, but gaps in operational AI deployment and industry connections.","Named AI leadership roles, Institute for Future Health with AI focus, undergraduate AI specialization tracks, graduate AI concentrations, cross-departmental AI integration, named research centers","","UC Irvine official websites | Academic program catalogs | News and press releases | Faculty and research center pages",2026-04,2026-04,green,"[2026-04-11] 1.4: Zero score on institutional capital commitment - no specific dollar figures found but may exist | [2026-04-11] 2.1: Partial score on campus-wide AI tool - ZotGPT mentioned but deployment scope unclear | [2026-04-11] 3.1: Minimal score on industry partnerships - limited specific program details found"
